SYMBOL	FC.Mouse A	FC.Mouse D	FC.Mouse B	FC.Mouse C	FC.Rat	FDR.Mouse A	FDR.Mouse D	FDR.Mouse B	FDR.Mouse C	FDR.Rat	DE.Mouse A	DE.Mouse D	DE.Mouse B	DE.Mouse C	DE.Rat
Mroh9	-1.07	NA	NA	NA	-1.27	0.4196	NA	NA	NA	0.9438	0	NA	NA	NA	0
Olfr364-ps1	1.03	NA	NA	NA	1.37	0.4196	NA	NA	NA	0.6882	0	NA	NA	NA	0
Olfr1009	1.06	NA	NA	NA	1.07	0.4196	NA	NA	NA	0.9857	0	NA	NA	NA	0
Gm22351	1.14	NA	NA	NA	NA	0.4198	NA	NA	NA	NA	0	NA	NA	NA	NA
Ccdc127	-1.17	NA	NA	NA	1.09	0.4198	NA	NA	NA	0.9793	0	NA	NA	NA	0
Taf4a	-1.17	NA	NA	-1.03	NA	0.4201	NA	NA	NA	NA	0	NA	NA	0	NA
Gm22509	1.01	NA	NA	NA	NA	0.4201	NA	NA	NA	NA	0	NA	NA	NA	NA
1700001K19Rik	1.13	NA	NA	NA	-1.27	0.4201	NA	NA	NA	0.9238	0	NA	NA	NA	0
Gm11895	1.07	NA	NA	NA	NA	0.4201	NA	NA	NA	NA	0	NA	NA	NA	NA
Ugcg	-1.08	1	1.15	-1.08	-1.21	0.4202	0.7684	0.6546	NA	0.966	0	0	0	0	0
Gm20793	1.1	1.02	1.27	NA	NA	0.4202	0.9817	0.4592	NA	NA	0	0	0	NA	NA
Gm10714	1.07	NA	NA	NA	NA	0.4202	NA	NA	NA	NA	0	NA	NA	NA	NA
Erich1	1.1	NA	NA	NA	1.68	0.4202	NA	NA	NA	0.3738	0	NA	NA	NA	0
Lce1a2	-1.05	NA	NA	NA	NA	0.4203	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm25260	1.01	NA	NA	NA	NA	0.4205	NA	NA	NA	NA	0	NA	NA	NA	NA
Sema5b	1.04	-1	1.01	-1.02	-1.09	0.4206	0.9709	0.9878	NA	0.9859	0	0	0	0	0
Uhrf1	-1.07	-1.2	1.23	-1.25	1.49	0.4207	0.8815	0.8094	NA	0.8446	0	0	0	0	0
Ctxn1	1.08	NA	NA	NA	NA	0.4208	NA	NA	NA	NA	0	NA	NA	NA	NA
Abcc3	-1.07	-1.52	-1.54	-1.62	-1.59	0.4209	0.4007	0.1554	NA	0.9949	0	0	0	0	0
Rrp1	-1.02	1.14	1.04	NA	-1.06	0.4209	0.797	0.9618	NA	0.9949	0	0	0	NA	0
Gm22111	-1.05	NA	NA	NA	NA	0.4209	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm23687	-1.05	NA	NA	NA	NA	0.4209	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm24566	-1.05	NA	NA	NA	NA	0.4209	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm26389	-1.05	NA	NA	NA	NA	0.4209	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm22130	-1.05	NA	NA	NA	NA	0.4209	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm22393	-1.05	NA	NA	NA	NA	0.4209	NA	NA	NA	NA	0	NA	NA	NA	NA
Zmiz2	1.15	-1.02	1.07	NA	1.47	0.4209	0.9335	0.8838	NA	0.7398	0	0	0	NA	0
9930014A18Rik	1.07	NA	NA	-1.85	NA	0.4209	NA	NA	NA	NA	0	NA	NA	0	NA
Zdhhc18	1.08	NA	NA	NA	-1.13	0.4209	NA	NA	NA	0.8514	0	NA	NA	NA	0
Igkv4-91	1.12	-1.02	1.29	NA	NA	0.421	0.8234	0.4101	NA	NA	0	0	0	NA	NA
Hfe	-1.07	1.25	-1.09	1.1	1.52	0.4211	0.2849	0.8607	NA	0.917	0	0	0	0	0
Adgrb2	-1.03	NA	NA	NA	1.59	0.4212	NA	NA	NA	0.7276	0	NA	NA	NA	0
Txnrd2	1.07	1.2	1.04	1.07	1.87	0.4212	0.8983	0.929	NA	0.9094	0	0	0	0	0
Oxld1	1.16	NA	NA	NA	1.05	0.4213	NA	NA	NA	0.9922	0	NA	NA	NA	0
Olfr1201	1.03	NA	NA	NA	-1.14	0.4214	NA	NA	NA	0.9816	0	NA	NA	NA	0
Efemp2	1.1	NA	NA	1.02	-1.39	0.4215	NA	NA	NA	0.6616	0	NA	NA	0	0
Lmx1a	-1.12	NA	NA	1.2	-1.2	0.4215	NA	NA	NA	0.9489	0	NA	NA	0	0
A630033H20Rik	-1.05	NA	NA	1.01	NA	0.4215	NA	NA	NA	NA	0	NA	NA	0	NA
Eps8l1	-1.08	NA	NA	-1.03	1.39	0.4216	NA	NA	NA	0.9231	0	NA	NA	0	0
Caskin2	1.07	NA	NA	-1.22	-1.14	0.4217	NA	NA	NA	0.9579	0	NA	NA	0	0
Gm25683	1.11	NA	NA	NA	NA	0.4217	NA	NA	NA	NA	0	NA	NA	NA	NA
Igbp1b	1.08	1.13	1.05	1.02	1.15	0.4218	0.6288	0.9071	NA	0.9922	0	0	0	0	0
Mir701	1.06	NA	NA	NA	NA	0.4218	NA	NA	NA	NA	0	NA	NA	NA	NA
Zkscan14	1.07	1.02	1.37	NA	1.05	0.4219	0.9709	0.5373	NA	0.9334	0	0	0	NA	0
n-R5s33	-1.13	NA	NA	NA	NA	0.4219	NA	NA	NA	NA	0	NA	NA	NA	NA
Hddc2	1	1.05	1.09	NA	-1.07	0.4222	0.9725	0.8367	NA	0.9792	0	0	0	NA	0
C1ql2	-1	NA	NA	-1.01	-1.99	0.4223	NA	NA	NA	0.7164	0	NA	NA	0	0
Psmd3	-1.07	1.15	1.15	-1.23	1.08	0.4223	0.9703	0.8377	NA	0.975	0	0	0	0	0
Adamts10	1.07	NA	NA	1.36	1.15	0.4223	NA	NA	NA	0.9988	0	NA	NA	0	0
Rpn2	-1.03	1.33	-1.14	-1.69	1.14	0.4223	0.278	0.7107	NA	0.8579	0	0	0	0	0
Stxbp1	1.1	-1.17	1.4	1.54	1.18	0.4223	0.91	0.3231	NA	0.9097	0	0	0	0	0
Kdm3b	-1.07	1.24	1.01	NA	-1.08	0.4223	0.5823	0.9904	NA	0.98740000000000006	0	0	0	NA	0
Mir380	1.11	NA	NA	NA	NA	0.4223	NA	NA	NA	NA	0	NA	NA	NA	NA
Ccdc175	1.07	NA	NA	NA	1.12	0.4224	NA	NA	NA	0.9993	0	NA	NA	NA	0
Ly6g6c	-1.05	-1.13	-1.29	-1.78	3.95	0.4225	0.737	0.443	NA	0.0036	0	0	0	-1	1
Fkbp15	1.03	NA	NA	NA	-1.1	0.4225	NA	NA	NA	0.9979	0	NA	NA	NA	0
Cxcr3	1.15	-1.07	1.13	1.05	-2.05	0.4226	0.8801	0.769	NA	0.3684	0	0	0	0	0
Olfr1414	1.04	NA	NA	NA	1.07	0.4228	NA	NA	NA	0.9922	0	NA	NA	NA	0
Cyp2d22	1.09	NA	NA	-1	1.75	0.423	NA	NA	NA	0.6116	0	NA	NA	0	0
Slc7a5	-1.11	-1.44	1.77	-1.28	1.04	0.423	0.9625	0.1003	NA	0.975	0	0	0	0	0
Gm42049	-1.11	NA	NA	NA	NA	0.423	NA	NA	NA	NA	0	NA	NA	NA	NA
Fam132b	1.04	NA	NA	NA	NA	0.423	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr701	1.05	NA	NA	1	1.59	0.4232	NA	NA	NA	0.9168	0	NA	NA	0	0
Gjd3	1.01	NA	NA	NA	1.24	0.4232	NA	NA	NA	0.7928	0	NA	NA	NA	0
Entpd2	1.11	-1.17	-1.24	-1.31	-1.19	0.4232	0.8244	0.5439	NA	0.8654	0	0	0	0	0
Npdc1	1.11	-1.09	1.13	-2.16	NA	0.4232	0.8368	0.9146	NA	NA	0	0	0	0	NA
Thap11	1.11	NA	NA	-1.22	1.22	0.4233	NA	NA	NA	0.9747	0	NA	NA	0	0
Ppp4c	1.11	1.16	-1.11	1.24	-1.01	0.4234	0.4589	0.8683	NA	0.9975	0	0	0	0	0
Defb37	1.03	NA	NA	NA	1.42	0.4235	NA	NA	NA	0.634	0	NA	NA	NA	0
BC005624	1.1	-1.07	1.27	-1.23	1.03	0.4235	0.846	0.6366	NA	0.9949	0	0	0	0	0
Fam46b	1.05	NA	NA	NA	NA	0.4235	NA	NA	NA	NA	0	NA	NA	NA	NA
LOC105244085	1.09	NA	NA	NA	NA	0.4236	NA	NA	NA	NA	0	NA	NA	NA	NA
Myom2	-1.06	1.07	-1.13	-5.44	-1.35	0.4237	0.9823	0.7977	NA	0.8694	0	0	0	-1	0
Gtf3c4	-1.09	-1.18	-1.02	-1.69	-1.06	0.4237	0.429	0.9662	NA	0.9676	0	0	0	0	0
Sep15	1.12	1.75	1.56	NA	NA	0.4237	0.0556	0.3518	NA	NA	0	0	0	NA	NA
Trpc5os	1.11	NA	NA	NA	NA	0.4237	NA	NA	NA	NA	0	NA	NA	NA	NA
Gzmk	1.1	1.01	1.08	1.16	-1.3	0.4237	0.9386	0.8414	NA	0.6465	0	0	0	0	0
Gm41069	1.1	NA	NA	NA	NA	0.4237	NA	NA	NA	NA	0	NA	NA	NA	NA
Rnf113a2	1.02	NA	NA	NA	-1.07	0.4238	NA	NA	NA	0.9406	0	NA	NA	NA	0
Znhit1	1.03	-1.06	1.01	-1.52	1.43	0.4238	0.9571	0.9873	NA	0.9489	0	0	0	0	0
Foxa2	1.09	-1.33	-1.2	-1.52	-1.03	0.424	0.5928	0.7116	NA	0.995	0	0	0	-1	0
Strc	1.1	NA	NA	-1.12	1.32	0.424	NA	NA	NA	0.814	0	NA	NA	0	0
Gstk1	1.08	-1.41	-1.12	-1.61	1.21	0.424	0.1975	0.8035	NA	0.9736	0	0	0	0	0
5930422O12Rik	1.09	NA	NA	1.01	NA	0.4241	NA	NA	NA	NA	0	NA	NA	0	NA
Poc1b	1.02	NA	NA	NA	1.29	0.4241	NA	NA	NA	0.8918	0	NA	NA	NA	0
Tmc8	1.15	NA	NA	NA	-1	0.4241	NA	NA	NA	0.975	0	NA	NA	NA	0
Vsig10l	-1.06	NA	NA	NA	-1.01	0.4243	NA	NA	NA	0.9962	0	NA	NA	NA	0
Shkbp1	1.02	1.3	1.2	-1.06	1.11	0.4244	0.2981	0.7417	NA	0.8602	0	0	0	0	0
Rpsa-ps11	1.02	NA	NA	NA	NA	0.4245	NA	NA	NA	NA	0	NA	NA	NA	NA
Cryab	-1.08	-1.08	1.24	-2.59	1.26	0.4245	0.8385	0.5761	NA	0.9922	0	0	0	-1	0
Gm10638	1.01	NA	NA	NA	NA	0.4246	NA	NA	NA	NA	0	NA	NA	NA	NA
BC016548	1.04	NA	NA	1.28	NA	0.4247	NA	NA	NA	NA	0	NA	NA	0	NA
Cav3	1.09	1.13	1.14	-1.11	-1.26	0.4247	0.8757	0.6848	NA	0.965	0	0	0	0	0
Fam120b	1.07	NA	NA	NA	-1.03	0.4249	NA	NA	NA	0.9812	0	NA	NA	NA	0
Nlgn3	1.11	NA	NA	1.02	1.22	0.4251	NA	NA	NA	0.9774	0	NA	NA	0	0
Fam134c	-1.07	NA	NA	NA	NA	0.4252	NA	NA	NA	NA	0	NA	NA	NA	NA
Glod5	-1.07	NA	NA	NA	1.03	0.4254	NA	NA	NA	0.9999	0	NA	NA	NA	0
Gm25874	-1.08	NA	NA	NA	NA	0.4255	NA	NA	NA	NA	0	NA	NA	NA	NA
Pik3ca	1.04	1.27	1.53	-1.03	1.23	0.4257	0.2849	0.1988	NA	0.9051	0	0	0	0	0
Rnf144a	1.14	NA	NA	NA	-1.4	0.4257	NA	NA	NA	0.971	0	NA	NA	NA	0
Camta2	1.12	NA	NA	1.12	1.04	0.4257	NA	NA	NA	0.9993	0	NA	NA	0	0
Klhdc4	1.13	-1.19	1.25	1.06	1.01	0.4258	0.3891	0.4553	NA	0.9989	0	0	0	0	0
2310068J16Rik	1.1	NA	NA	1.04	NA	0.4259	NA	NA	NA	NA	0	NA	NA	0	NA
Gjc3	1.2	NA	NA	NA	1.05	0.4259	NA	NA	NA	0.9629	0	NA	NA	NA	0
Fam120a	-1.04	1.04	-1.04	NA	1.12	0.4259	0.8476	0.9691	NA	0.9922	0	0	0	NA	0
Trim58	1.02	NA	NA	NA	1.01	0.426	NA	NA	NA	0.9992	0	NA	NA	NA	0
Gm24143	1.01	NA	NA	NA	NA	0.4261	NA	NA	NA	NA	0	NA	NA	NA	NA
Trav14d-2	1.1	NA	NA	NA	NA	0.4261	NA	NA	NA	NA	0	NA	NA	NA	NA
Trav14n-2	1.1	NA	NA	NA	NA	0.4261	NA	NA	NA	NA	0	NA	NA	NA	NA
Tmem28	-1.08	NA	NA	NA	-1.71	0.4261	NA	NA	NA	0.4585	0	NA	NA	NA	0
Ccdc36	-1.04	NA	NA	NA	NA	0.4263	NA	NA	NA	NA	0	NA	NA	NA	NA
Gng5	1	1.09	-1.54	-1.3	NA	0.4265	0.7887	0.3071	NA	NA	0	0	0	0	NA
Olfr891	1.13	NA	NA	NA	NA	0.4265	NA	NA	NA	NA	0	NA	NA	NA	NA
9330132A10Rik	1.01	NA	NA	NA	NA	0.4266	NA	NA	NA	NA	0	NA	NA	NA	NA
Sac3d1	1.04	1.27	-1.11	NA	1.31	0.4266	0.6132	0.7382	NA	0.9976	0	0	0	NA	0
Atp2c2	-1.06	NA	NA	NA	1.76	0.4266	NA	NA	NA	0.3777	0	NA	NA	NA	0
Serpinb9d	-1.03	NA	NA	1.06	1	0.4267	NA	NA	NA	0.9898	0	NA	NA	0	0
Prl6a1	1.08	-1.03	-1.05	NA	-1.25	0.4267	0.9505	0.9302	NA	0.9723	0	0	0	NA	0
Etl4	-1.12	-1.33	-1	NA	-1.33	0.4267	0.9875	0.9989	NA	0.9655	0	0	0	NA	0
Nedd1	1.03	1.34	-1.04	1.03	1.84	0.4267	0.4688	0.9302	NA	0.1001	0	0	0	0	0
Gm6653	1.01	NA	NA	NA	NA	0.4269	NA	NA	NA	NA	0	NA	NA	NA	NA
Proser3	1.02	NA	NA	NA	1.06	0.4271	NA	NA	NA	0.9844	0	NA	NA	NA	0
Rpl27a-ps2	1.06	NA	NA	NA	NA	0.4271	NA	NA	NA	NA	0	NA	NA	NA	NA
Cd200	1.04	-1	1.95	1.11	1.45	0.4271	0.9541	0.1205	NA	0.6123	0	0	0	0	0
Hlcs	-1.03	NA	NA	1.22	-1.06	0.4271	NA	NA	NA	0.9962	0	NA	NA	0	0
Runx1	-1.07	-1.19	-1.15	-1.2	1.06	0.4272	0.7461	0.7054	NA	0.9942	0	0	0	0	0
Gm14245	1.07	NA	NA	NA	NA	0.4273	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm23622	1.1	NA	NA	NA	NA	0.4273	NA	NA	NA	NA	0	NA	NA	NA	NA
Igkv4-60	1.32	NA	NA	NA	NA	0.4273	NA	NA	NA	NA	0	NA	NA	NA	NA
Pdpr	1.12	NA	NA	NA	1.42	0.4273	NA	NA	NA	0.9643	0	NA	NA	NA	0
Rnf168	-1.12	NA	NA	NA	1.29	0.4273	NA	NA	NA	0.8043	0	NA	NA	NA	0
Cacnb1	1.12	NA	NA	1.38	-1.11	0.4274	NA	NA	NA	0.9999	0	NA	NA	0	0
Zfp628	1.09	NA	NA	NA	-1.04	0.4275	NA	NA	NA	0.9922	0	NA	NA	NA	0
Olfr1057	1.03	NA	NA	NA	1.22	0.4277	NA	NA	NA	0.9942	0	NA	NA	NA	0
Pdss1	-1.07	NA	NA	NA	-1.15	0.4277	NA	NA	NA	0.9643	0	NA	NA	NA	0
Gm5561	1.08	NA	NA	NA	NA	0.4278	NA	NA	NA	NA	0	NA	NA	NA	NA
Adamts16	1.12	NA	NA	1	1.02	0.4278	NA	NA	NA	0.7901	0	NA	NA	0	0
Olfr612	1.03	NA	NA	NA	1	0.4279	NA	NA	NA	0.987	0	NA	NA	NA	0
Plk1	-1.02	-1.04	1.25	1.06	1.64	0.4279	0.8084	0.6696	NA	0.5158	0	0	0	0	0
Cln6	-1.08	-1.09	1.11	-1	-1.01	0.428	0.4323	0.7753	NA	0.9922	0	0	0	0	0
Hdac6	-1.06	1.08	1.47	-1.35	1.58	0.428	0.91	0.6753	NA	0.7503	0	0	0	0	0
Gm11263	-1.05	NA	NA	NA	NA	0.428	NA	NA	NA	NA	0	NA	NA	NA	NA
Tfr2	1.09	-1.04	1.02	NA	1.15	0.4281	0.9505	0.98	NA	0.9736	0	0	0	NA	0
Barhl2	1.09	NA	NA	NA	-1.23	0.4283	NA	NA	NA	0.9938	0	NA	NA	NA	0
Gm8773	-1.13	NA	NA	NA	NA	0.4283	NA	NA	NA	NA	0	NA	NA	NA	NA
Paqr9	1.06	NA	NA	1.22	NA	0.4284	NA	NA	NA	NA	0	NA	NA	0	NA
Gm24487	1.07	NA	NA	NA	NA	0.4284	NA	NA	NA	NA	0	NA	NA	NA	NA
Xylt2	-1.01	NA	NA	1.05	-1.33	0.4286	NA	NA	NA	0.9051	0	NA	NA	0	0
Hexb	-1.02	1.07	1.02	1.02	1.14	0.4287	0.7608	0.9828	NA	0.8966	0	0	0	0	0
Mrgprx1	-1.11	NA	NA	NA	NA	0.4287	NA	NA	NA	NA	0	NA	NA	NA	NA
Spint2	1.07	1.07	1.19	-1.17	-1.11	0.4287	0.8786	0.6676	NA	0.9949	0	0	0	0	0
Ccnb3	1.02	NA	NA	1.03	-2.79	0.4288	NA	NA	NA	0.0088	0	NA	NA	0	-1
Gm14243	1.07	NA	NA	NA	NA	0.4289	NA	NA	NA	NA	0	NA	NA	NA	NA
Haus7	1.06	NA	NA	NA	NA	0.4289	NA	NA	NA	NA	0	NA	NA	NA	NA
Elane	1.16	-1.09	1.12	NA	-1.27	0.4289	0.7805	0.7889	NA	0.9747	0	0	0	NA	0
Magea3	1.06	1.08	-1.05	1.31	NA	0.4289	0.9505	0.9221	NA	NA	0	0	0	0	NA
Magea8	1.06	NA	NA	NA	NA	0.4289	NA	NA	NA	NA	0	NA	NA	NA	NA
Hoxb4	1.04	1.03	-1.02	1.05	-1.14	0.4289	0.9604	0.9729	NA	0.9922	0	0	0	0	0
Fxyd5	-1	-1.16	-1.22	-1.03	NA	0.429	0.829	0.5763	NA	NA	0	0	0	0	NA
Fam76b	-1.04	1.42	1.64	NA	-1.05	0.429	0.3759	0.2729	NA	0.9922	0	0	0	NA	0
Lpar1	-1.04	1.09	-1.13	NA	1.04	0.429	0.961	0.6925	NA	0.9907	0	0	0	NA	0
Pcmtd1	-1.02	NA	NA	NA	1.3	0.429	NA	NA	NA	0.9824	0	NA	NA	NA	0
Gm5678	-1.12	NA	NA	NA	1.07	0.429	NA	NA	NA	0.9675	0	NA	NA	NA	0
Fbll1	1.08	NA	NA	NA	1.21	0.429	NA	NA	NA	0.7468	0	NA	NA	NA	0
Plod3	-1.08	1.07	1.27	1.07	1.08	0.429	0.8721	0.6589	NA	0.9824	0	0	0	0	0
Il13ra1	-1.05	1.2	1.41	1.03	-1.14	0.429	0.4243	0.534	NA	0.9723	0	0	0	0	0
Esx1	-1.19	-1.14	-1.04	1.06	NA	0.429	0.9072	0.9302	NA	NA	0	0	0	0	NA
Mir381	1.03	NA	NA	NA	NA	0.429	NA	NA	NA	NA	0	NA	NA	NA	NA
Sphk1	-1.03	-1.13	-1.32	-1.12	1.15	0.429	0.9275	0.3596	NA	0.9073	0	0	0	0	0
Mob1a	1.09	1.44	1.49	NA	1	0.429	0.4538	0.2729	NA	0.9747	0	0	0	NA	0
Zc3h7a	-1.19	NA	NA	NA	-1.17	0.429	NA	NA	NA	0.8694	0	NA	NA	NA	0
Zfp42	1.42	-1.12	1	-1.13	1.24	0.4291	0.9	0.9989	NA	0.8787	0	0	0	0	0
AY074887	1.06	NA	NA	NA	NA	0.4291	NA	NA	NA	NA	0	NA	NA	NA	NA
Haghl	1.06	NA	NA	-1.02	-1.24	0.4291	NA	NA	NA	0.8972	0	NA	NA	0	0
Col22a1	1.07	1.08	1.19	NA	1.32	0.4291	0.9505	0.7361	NA	0.9309	0	0	0	NA	0
Olfr332	1.02	NA	NA	NA	1.36	0.4292	NA	NA	NA	0.966	0	NA	NA	NA	0
Cldn17	1.03	NA	NA	NA	1.63	0.4293	NA	NA	NA	0.7143	0	NA	NA	NA	0
Dpp8	-1.12	-1.14	1.31	-1.09	-1.04	0.4293	0.5666	0.4602	NA	0.9962	0	0	0	0	0
Tgif2lx1	1.03	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Slc7a6os	-1.07	NA	NA	NA	-1.19	0.4293	NA	NA	NA	0.9594	0	NA	NA	NA	0
Pou4f1	-1.13	NA	NA	-1.35	1.05	0.4293	NA	NA	NA	0.995	0	NA	NA	0	0
Mdga2	-1.06	NA	NA	NA	1.3	0.4293	NA	NA	NA	0.8909	0	NA	NA	NA	0
Lmln	1.01	NA	NA	-1.15	-1.75	0.4293	NA	NA	NA	0.7006	0	NA	NA	0	0
H2-Q3	1.01	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr695	1.15	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm5897	-1.08	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm10343	1.1	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Tdrd1	1.09	NA	NA	1.17	-1.09	0.4293	NA	NA	NA	0.9348	0	NA	NA	0	0
Olfr868	1.04	NA	NA	NA	1.27	0.4293	NA	NA	NA	0.6707	0	NA	NA	NA	0
Vps13c	-1.14	-1.05	-1.08	1.38	1.39	0.4293	0.9	0.9253	NA	0.8654	0	0	0	0	0
Zscan10	1.11	NA	NA	NA	-1.14	0.4293	NA	NA	NA	0.9631	0	NA	NA	NA	0
Snord96a	-1.02	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm21861	1.02	NA	NA	NA	-1.19	0.4293	NA	NA	NA	0.7737	0	NA	NA	NA	0
1700040F15Rik	1.02	NA	NA	NA	-1.19	0.4293	NA	NA	NA	0.7737	0	NA	NA	NA	0
Zfp286	1.05	NA	NA	1.05	-1.23	0.4293	NA	NA	NA	0.9212	0	NA	NA	0	0
Olfr974	1.01	NA	NA	NA	1.17	0.4293	NA	NA	NA	0.9859	0	NA	NA	NA	0
Prp2	1.08	-1.19	-1.19	NA	NA	0.4293	0.4989	0.5825	NA	NA	0	0	0	NA	NA
Gm24141	1.03	NA	NA	NA	NA	0.4293	NA	NA	NA	NA	0	NA	NA	NA	NA
Trappc12	1.06	1.16	-1.01	NA	-1.16	0.4295	0.9505	0.9835	NA	0.975	0	0	0	NA	0
Slc4a8	1.07	1.03	1.05	1.3	1.6	0.4296	0.9958	0.9102	NA	0.2358	0	0	0	0	0
Rabl3	1.07	NA	NA	1.23	1.01	0.4296	NA	NA	NA	0.9949	0	NA	NA	0	0
Mir337	1.07	NA	NA	NA	NA	0.4297	NA	NA	NA	NA	0	NA	NA	NA	NA
Prl	1.12	-1.02	1	1.19	1.07	0.4297	0.9543	0.9988	NA	0.9163	0	0	0	0	0
Dmc1	1.03	-1.02	1.06	NA	1.43	0.4301	0.9417	0.9169	NA	0.7877	0	0	0	NA	0
Map3k7cl	-1.09	NA	NA	NA	NA	0.4301	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm14148	-1	NA	NA	NA	NA	0.4301	NA	NA	NA	NA	0	NA	NA	NA	NA
Scly	-1.05	NA	NA	-1.29	-1.1	0.4301	NA	NA	NA	0.9974	0	NA	NA	0	0
Banp	-1.06	1.02	-1.01	1.11	1.19	0.4301	0.9725	0.9885	NA	0.8826	0	0	0	0	0
Vamp7	-1.01	1.15	-1.06	NA	NA	0.4301	0.7993	0.9185	NA	NA	0	0	0	NA	NA
2010016I18Rik	1.08	NA	NA	NA	NA	0.4301	NA	NA	NA	NA	0	NA	NA	NA	NA
Aagab	1	NA	NA	NA	1.37	0.4301	NA	NA	NA	0.8256	0	NA	NA	NA	0
Anxa7	1.01	1.14	1.19	-1.07	1.16	0.4301	0.4556	0.5562	NA	0.941	0	0	0	0	0
Scgb2b2	-1.1	NA	NA	-1.22	-1.17	0.4301	NA	NA	NA	0.9049	0	NA	NA	0	0
Galc	-1.07	-1.03	1.01	1.03	2.52	0.4301	0.9625	0.9913	NA	0.5335	0	0	0	0	0
Glra3	1.07	NA	NA	1.06	1.31	0.4302	NA	NA	NA	0.9576	0	NA	NA	0	0
Evc2	1.06	NA	NA	-1.21	-1.13	0.4303	NA	NA	NA	0.9949	0	NA	NA	0	0
Polr2f	1.09	1.03	-1.13	NA	-1.02	0.4305	0.9715	0.772	NA	0.9967	0	0	0	NA	0
Tsga10	-1.03	NA	NA	1.38	-1.37	0.4305	NA	NA	NA	0.9489	0	NA	NA	0	0
Marveld2	1.03	NA	NA	1.14	-1.15	0.4306	NA	NA	NA	0.9438	0	NA	NA	0	0
Rpl30-ps10	1.12	1.05	-1.12	NA	NA	0.4306	0.7163	0.8216	NA	NA	0	0	0	NA	NA
Gm24445	1.27	NA	NA	NA	NA	0.4307	NA	NA	NA	NA	0	NA	NA	NA	NA
Crybb3	1.05	NA	NA	-1.25	1.1	0.4308	NA	NA	NA	0.9611	0	NA	NA	0	0
Phxr4	-1.09	1.06	-1.13	-1.42	NA	0.4309	0.9387	0.7352	NA	NA	0	0	0	0	NA
Polr3k	-1.12	1.06	-1.38	-1.32	-1.07	0.4309	0.8859	0.2569	NA	0.9827	0	0	0	0	0
Sf3b5	1.12	1.03	-1.56	-2.07	1.07	0.4309	0.9715	0.6869	NA	0.9212	0	0	0	0	0
Svep1	1.16	NA	NA	NA	-1.22	0.4309	NA	NA	NA	0.91	0	NA	NA	NA	0
Spam1	1.06	1.02	1	1.05	-1.01	0.431	0.9928	0.9996	NA	0.9988	0	0	0	0	0
Dnaja4	-1.1	NA	NA	-1.78	-1.02	0.431	NA	NA	NA	0.9938	0	NA	NA	-1	0
Fign	1.08	NA	NA	1.06	1.11	0.431	NA	NA	NA	0.9576	0	NA	NA	0	0
Gm12019	1.11	NA	NA	NA	NA	0.431	NA	NA	NA	NA	0	NA	NA	NA	NA
Olfr938	1.04	NA	NA	NA	1.5	0.431	NA	NA	NA	0.6966	0	NA	NA	NA	0
Kdm2b	-1.07	NA	NA	NA	-1.13	0.4311	NA	NA	NA	0.9979	0	NA	NA	NA	0
Nfyb	-1.04	1.11	1.14	1	1	0.4313	0.9154	0.7523	NA	0.975	0	0	0	0	0
Gm8210	1.07	1.14	1.06	NA	NA	0.4313	0.9078	0.9119	NA	NA	0	0	0	NA	NA
Rpl29	1.07	1.14	1.06	-1.43	-1.09	0.4313	0.9078	0.9119	NA	0.9576	0	0	0	0	0
Olfr399	1.12	NA	NA	NA	-1.07	0.4315	NA	NA	NA	0.975	0	NA	NA	NA	0
Atp8a2	-1.06	NA	NA	1.05	-1.42	0.4316	NA	NA	NA	0.8579	0	NA	NA	0	0
Gm11361	1.07	NA	NA	NA	NA	0.4316	NA	NA	NA	NA	0	NA	NA	NA	NA
Gm14710	1.13	NA	NA	NA	NA	0.4316	NA	NA	NA	NA	0	NA	NA	NA	NA
Scrg1	-1.06	-1.09	-1.19	-1.37	-1.09	0.4316	0.4762	0.5749	NA	0.9927	0	0	0	0	0
Ghrl	1.1	-1.6	-2.25	1.03	2	0.4316	0.1191	0.0417	NA	0.7459	0	0	-1	0	0
Ccdc169	1.09	NA	NA	NA	1.15	0.4316	NA	NA	NA	0.8522	0	NA	NA	NA	0
Gm23508	1.14	NA	NA	NA	NA	0.4317	NA	NA	NA	NA	0	NA	NA	NA	NA
Rian	1.14	NA	NA	1.22	NA	0.4317	NA	NA	NA	NA	0	NA	NA	0	NA
